Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Kirk Cousins\CousKi00,WAS,31,46,365,4,0,2,14,28,120.3,5,-4,0,0,0,0,0,0,0,1,0
Alfred Morris\MorrAl00,WAS,0,0,0,0,0,0,0,0,,17,49,0,8,1,0,0,0,0,0,0
Pierre Thomas\ThomPi00,WAS,0,0,0,0,0,0,0,0,,4,22,0,9,8,7,67,0,15,0,0
Jordan Reed\ReedJo02,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,11,9,129,2,28,0,0
Pierre Garcon\GarcPi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,80,1,25,0,0
DeSean Jackson\JackDe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,40,0,22,0,0
Ryan Grant\GranRy01,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,24,0,24,0,0
Jamison Crowder\CrowJa00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,7,0,0
Chris Thompson\ThomCh03,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,1,12,0,0
Alex Smith\SmitAl02,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Sam Bradford\BradSa00,PHI,37,56,380,1,0,5,27,43,91.4,2,4,0,4,0,0,0,0,0,3,1
DeMarco Murray\MurrDe00,PHI,0,0,0,0,0,0,0,0,,5,27,1,12,4,3,24,0,13,0,0
Darren Sproles\SproDa00,PHI,0,0,0,0,0,0,0,0,,5,9,0,8,9,7,56,0,14,1,0
Ryan Mathews\MathRy00,PHI,0,0,0,0,0,0,0,0,,4,5,1,2,3,2,13,0,11,0,0
Zach Ertz\ErtzZa00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,17,13,122,0,17,1,1
Jordan Matthews\MattJo00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,104,1,43,0,0
Nelson Agholor\AghoNe00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,35,0,18,0,0
Brent Celek\CeleBr00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,18,0,18,1,0
Josh Huff\HuffJo00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Jonathan Krause\KrauJo00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Riley Cooper\CoopRi00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Kenjon Barner\BarnKe00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,-7,0,-7,0,0
